NAME,OVR,POT
Jaromir Blazek,78,83
Dominik Reinhardt,74,79
Gláuber,79,82
Andreas Wolf,78,81
Horacio Javier Pínola,76,85
Ivan Saenko,78,84
Jawhar Mnari,76,84
Zvjezdan Misimovic,78,81
Tomás Galásek,82,86
Robert Vittek,80,85
Angelos Charisteas,75,79
Daniel Klewer,75,78
Lars Jacobsen,71,75
Peer Kluge,77,84
Marco Engelhardt,76,85
Marek Mintal,80,86
Jan Kristiansen,71,79
Joshua Kennedy,68,77
Nicky Adler,68,77
Chhunly Pagenburg,60,73
Michael Beauchamp,69,79
Leon Benko,63,81
Christoph Weber,56,69
Matthew Spiranovic,65,72
Dario Vidosic,56,67
