NAME,OVR,POT
Daniel Batz,67,67
Dominik BeckerL,63,70
Steven Willemen Da Silva,66,66
Dave Gnaase,64,66
Manuel Jin B.,66,66
Dominik Ernst,65,65
Pius Krätschmer,64,67
Julian Günther-Schmidt,66,66
Adriano Grimaldi,65,65
Sebastian Jacob,65,65
Justin Steinkötter,63,70
Minos Gouras,65,70
Luca Kerber,65,74
Boné Uaferro,63,63
Marcel Johnen,59,73
Tobias Jänicke,65,65
Robin Scheu,64,64
Jalen HawkinsL,60,72
Mario Müller,62,62
Alexander Groiß,63,68
Marius Köhl,55,65
Jonas Hupe,58,67
Frederik Recktenwald,54,68
