NAME,OVR,POT
Daniel Mesenhöler,67,77
Christopher Trimmel,72,72
Toni Leistner,75,76
Torrejón,72,72
Kristian Pedersen,68,75
Felix Kroos,72,75
Grischa Prömel,69,77
Akaki Gogia,71,72
Simon Hedlund,69,72
Dennis Daube,69,69
Steven Skrzybski,71,74
Stephan Fürstner,71,71
Michael Parensen,67,67
Marvin Friedrich,66,75
Peter Kurzweg,66,70
Jakob Busk,70,75
Philipp Hosiner,70,70
Kenny Prince Redondo,68,78
Marcel Hartel,69,77
Fabian Schönheim,69,69
Sebastian Polter,73,74
Christoph Schösswendter,67,67
Lars Dietz,61,73
Cihan Kahraman,55,75
Lennard Maloney,56,79
Berkan Taz,57,77
Lennart Moser,53,71
