NAME,OVR,POT
Dimo Wache,71,81
Robert Nikolic,65,75
Manuel Friedrich,69,81
Támás Bódog,71,77
Marco Rose,67,78
Christof Babatz,69,79
Mimoun Azaouagh,71,83
Antonio da Silva,68,78
Fabian Gerber,69,79
Benjamin Auer,74,83
Connor Casey,68,87
Niclas Weiland,68,78
Dennis Weiland,62,72
Mathias Abel,73,85
Christoph Teinert,69,80
Christian Wetklo,64,74
Marco Walker,71,78
Markus Dworrak,65,75
Jürgen Kramny,63,73
Sven Hoffmeister,53,63
Benjamin Weigelt,62,72
Ranisav Jovanovic,65,75
Nikolce Noveski,66,76
Michael Falkenmayer,63,73
Claudius Weber,65,75
