NAME,OVR,POT
Luca Tomasig,63,64
Manuel Daffara,59,63
Dario Bergamelli,62,64
Fabio Lebran,59,64
Matteo Piccinni,60,63
Valerio Foglio,61,64
Mehmet Hetemaj,60,68
Roberto Previtali,60,60
Andrea Cristiano,61,64
Omar Torri,64,64
Andrea CoccoL,63,68
Daniel Offredi,58,67
Francesco Luoni,59,63
Simon Laner,64,70
Michael Girasole,61,66
Karamoko Cissé,61,68
Pierre Regonesi,58,58
Alessandro Salvi,59,63
Alessandro Malomo,59,66
Paolo Maino,53,64
Rocco D'Aiello,59,69
Anthony Taugourdeau,54,63
Leandro Martínez,59,63
Adam Ambra,47,63
Mario Pacilli,59,63
Domenico Germinale,46,54
Stefano Chimini,55,66
