NAME,OVR,POT
Ludovic Butelle,69,69
Sébastien Cantini,60,63
Bakary Soro,62,66
Yunis Abdelhamid,58,59
Erwan Quintin,61,61
Romain Rocchi,66,66
Damien Plessis,63,66
Téji Savanier,61,65
Ben Amadou Sangaré,61,71
Maurice Junior Dalé,64,64
Raphaël Caceres,65,68
Naby-Moussa Yattara,58,59
Ousmane N'Diaye,59,72
Julien Cardy,66,66
William Aho Abou,57,73
Jonathan Tinhan,65,73
Chaouki Ben Saada,67,67
David Suarez,64,64
Eric Marester,62,62
Benjamin Psaume,61,61
Kanga Akalé,67,67
Jordi Delclos,64,67
Chaher Zarour,67,67
Jordan Galtier,55,64
Hugo Rodriguez,51,62
Clément Martinez,58,64
Mamoudou Mara,60,67
Nicolas Roque,50,56
