NAME,OVR,POT
Florin Nita,72,72
Ondřej Zahustel,70,70
Costa Nhamoinesu,72,72
Lukáš Štetina,72,74
Matěj Hanousek,71,74
Martin Frýdek,71,72
Michal Sáček,70,77
David Moberg Karlsson,71,73
Srdjan Plavšić,71,77
Guélor Kanga,75,75
Benjamin Tetteh,69,79
Václav Drchal,63,78
Bořek Dočkal,76,76
Alexandru Chipciu,72,72
Uroš Radaković,71,77
Milan Heča,62,65
Martin Hašek,68,73
Eldar Ćivić,66,73
Matěj Pulkrab,67,75
Václav Kadlec,70,71
Golgol Mebrahtu,64,64
Dominik Plechatý,60,75
David Bičík,66,66
Tal Ben Haim,72,72
Lukáš Vácha,68,68
Filip Panák,68,77
