NAME,OVR,POT
Marko Dmitrović,63,69
Federico Vega,62,66
Dakonam Djene,64,70
Chema Rodríguez,67,73
Bellvis,70,70
Campaña,70,75
Dani Toribio,66,67
Collantes,69,69
Óscar Plano,68,72
Natxo Insa,69,69
David Rodríguez,72,72
Rubén Sanz,66,66
Nélson,70,70
Răzvan Iulian Ochiroşii,64,66
Rafael Páez,63,68
Dani Jiménez,65,67
Máyor,65,65
Alvaro Rey,65,66
Dani Benítez,69,69
Pastrana,65,80
Sergio Rodríguez,64,68
Mikel Iribas,64,64
Fernando,61,69
Marc Nierga,62,66
Ricky Alonso,56,62
Ji Eon Hak,60,69
Jorge Rico,56,66
Manquillo,55,65
