NAME,OVR,POT
Robert Zwinkels,67,67
Tyronne Ebuehi,67,74
Tom Beugelsdijk,68,70
Wilfried Kanon,69,74
Aaron Meijers,71,71
Dion Malone,68,68
Danny Bakker,67,72
Abdenasser El KhayatiL,66,66
Sheraldo Becker,67,74
Guyon Fernandez,66,66
Édouard Duplan,70,70
Tom Trybull,66,71
Donny Gorter,68,68
Thomas Meißner,67,71
Trevor David,60,70
Ernestas Šetkus,68,68
Gervane Kastaneer,68,76
Ruben Schaken,67,67
Abel Tamata,66,67
Randy WoltersL,65,65
Aschraf El Mahdioui,65,74
Rody de Boer,61,74
Henk van Schaik,61,73
Mohamed Haddachi,60,70
Chovanie Amatkarijo,59,77
Jerdy Schouten,59,68
Jurrian Jouvenaar,58,69
Hennos Asmelash,57,72
Kevin Jansen,68,71
