NAME,OVR,POT
Nik Tzanev,62,66
Huseyin Biler,59,71
Paul Kalambayi,62,66
Alex Pearce,63,63
Jack Currie,62,73
Alex Woodyard,63,63
George Marsh,60,65
Ethan Chislett,64,68
Ali Al-Hamadi,57,68
Harry Pell,64,64
Josh Davison,63,71
Armani LittleL,62,65
Sam PearsonL,58,73
Lee Brown,62,62
Isaac Ogundere,56,64
Nathan Broome,55,66
Saikou JannehL,59,68
Diallang JaiyesimiL,64,69
Aaron Pierre,62,62
Chris Gunter,60,60
Kasey McAteerL,60,72
Luke Jenkins,55,69
David Fisher,54,66
Quaine Bartley,53,65
Elliott Bolton,51,62
Harry Griffiths,51,66
Will Nightingale,62,64
