NAME,OVR,POT
Oscar Linnér,70,76
Daniel Granli,64,69
Panajotis Dimitriadis,66,66
Per Karlsson,73,73
Karol Mets,69,71
Rasmus Lindkvist,68,68
Sebastian Larsson,74,74
Enock Kofi Adu,72,72
Tarik Elyounoussi,73,73
Henok Goitom,71,71
Chinedu Obasi,71,71
Nabil Bahoui,68,68
Felix Michel,63,68
Bilal Hussein,63,74
Heradi Rashidi,63,68
Budimir Janošević,61,63
Kolbeinn Sigþórsson,70,70
Anton Salétros,67,73
Joel Ekstrand,66,66
Robert Lundström,67,67
Daniel Mushitu,56,70
Saku Ylätupa,63,76
Kyriakos Stamatopoulos,57,57
Jesper Nyholm,67,71
Samuel Brolin,55,70
Jack Lahne,60,77
