NAME,OVR,POT
Olivier Sorin,74,78
Cédric Hengbart,75,75
Willy Boly,70,81
Stéphane Grichting,75,75
Jérémy Berthod,69,77
Delvin Ndinga,75,78
Edouard Cissé,74,74
Alain Traoré,76,81
Dennis Oliech,72,76
Anthony Le Tallec,74,78
Ben SaharL,71,77
Donovan Léon,64,75
Roy Contout,70,75
Georges Mandjeck,70,75
Dariusz Dudka,72,75
Kamel Chafni,70,76
Yaya Sanogo,63,79
Olivier Kapo,68,68
Adama Coulibaly,76,76
Soualiho Meité,59,78
Omar Kossoko,61,68
Amadou Sidibe,61,70
Rudy Haddad,69,73
Kossi Prince Segbefia,63,77
Simon Pontdemé,60,68
Christopher Missilou,61,77
Amara Morike Kallé,60,74
David Camps,59,72
Yonathan Del Valle,66,75
Paul-Georges Ntep de Madiba,61,77
Ogou Edmond Akichi,64,70
Sébastien Haller,61,77
Thomas Monconduit,61,71
