NAME,OVR,POT
Alexander NübelL,77,83
Ruben Aguilar,77,77
Axel Disasi,76,81
Benoît Badiashile,76,84
Caio Henrique,78,82
Cao Haiqing Fofana,77,82
Aurélien Tchouaméni,81,88
Alexandr Golovin,79,83
Kevin Volland,81,81
Wissam Ben Yedder,83,83
Gelson Martins,77,77
Jean Lucas,75,80
Guillermo Maripán,78,80
Djibril Sidibé,77,77
Radosław Majecki,71,78
Myron Boadu,75,83
Sofiane Diop,78,86
Ismail Jakobs,72,80
Eliot Matazo,72,83
Cesc Fàbregas,75,75
Chrislain Matsima,69,81
Vito Mannone,70,70
Harisson Marcelin,70,80
Krépin Diatta,75,82
