NAME,OVR,POT
Guy-Roland Ndy Assembe,68,68
Loris Néry,67,67
Ernest Seka,70,70
Abdelhamid El Kaoutari,69,70
Vincent Muratori,66,66
Laurent Abergel,68,73
Denis Will PohaL,68,75
Amine Bassi,68,78
Sylvain MarveauxL,68,68
Santy NgomL,67,70
VagnerL,69,77
Abou-Malal Ba,65,77
Pape Paye,67,67
Modou Diagne,67,74
Nicolas Saint-Ruf,66,69
Sergey Chernik,69,69
Malaly Dembélé,64,72
Vincent Marchetti,67,77
Hugo Constant,54,68
Pape SanéL,67,68
Serge N'Guessan,66,71
Aurélien Nguiamba,60,77
Danilson da Cruz,66,66
Jérémy Clément,65,65
Junior Dalé,64,64
Vinni Triboulet,60,76
Alexis Busin,64,70
Séga Coulibaly,63,71
Christopher Maboulou,63,63
Giovanni Haag,56,74
