NAME,OVR,POT
Jérémie Janot,75,80
Patrice Carteron,72,78
Javier Garrido,67,77
Zoumana Camara,75,83
Hérita Ilunga,61,71
Julien Sablé,74,85
Didier Zokora,66,77
Pascal Feindouno,74,85
David Hellebuyck,72,78
Frédéric Piquionne,74,84
Anthony Le Tallec,75,92
Florent Guillaud,64,74
Vincent Hognon,66,76
Lilian Compan,64,75
Mickaël Citony,71,81
Frédéric Mendy,60,80
Alassane N'Dour,64,78
Fousseni Diawara,56,68
Damien Deom,61,71
Nicolas Marin,65,76
Stéphane Hernandez,61,71
Mickaël Dogbé,59,69
Damien Bridonneau,69,80
Bafetidis Gomis,63,73
Idriss Ech-Chergui,50,69
