NAME,OVR,POT
Esteban Alvarado,74,80
Dirk Marcellis,71,74
Niklas Moisander,75,77
Nick Viergever,70,76
Simon Poulsen,72,74
Adam Maher,73,88
Rasmus Elm,79,84
Maarten Martens,75,76
Roy Beerens,74,78
Charlison Benschop,70,76
Brett Holman,73,74
Erik Heijblok,64,64
Etiënne Reijnen,66,70
Ragnar Klavan,69,71
Celso Ortiz,66,69
Erik Falkenburg,68,73
Jóhann Berg Gudmundsson,69,75
Jozy Altidore,72,77
Niki Mäenpää,65,66
Mattias Johansson,67,79
Giliano Wijnaldum,62,71
Ruud Boymans,67,72
Fernando Lewis,61,68
Ali Messaoud,65,73
Hobie Verhulst,60,77
Kevin Luckassen,59,70
Erik Schouten,61,67
Milan Hoek,58,65
