NAME,OVR,POT
Nicolai Larsen,66,74
Henrik Dalsgaard,63,67
Kenneth Emil Petersen,69,69
Lasse Nielsen,64,67
Jakob Ahlmann Nielsen,59,69
Kasper Kusk,65,75
Patrick Kristensen,65,70
Rasmus Würtz,70,70
Anders Due,66,66
Nicklas Helenius,66,76
Jeppe Curth,66,66
Carsten Christensen,62,63
Nicholas Gotfredsen,60,67
Rasmus Thelander,61,65
Rolf Toft,56,68
Kayke,65,70
Mathias Wichmann,63,70
Thomas Augustinussen,67,67
Nicolaj Thomsen,53,63
Martin Pedersen,51,55
Hállur Hánsson,50,63
Christian Rye,47,59
Søren Frederiksen,53,62
Jakob Blåbjerg Mathiasen,49,55
Kasper Pedersen,48,55
