NAME,OVR,POT
Andreas Lie,64,64
Bjørn Helge Riise,66,66
Kaj Ramsteijn,66,69
Oddbjørn Lie,63,63
Mikkel Kirkeskov,69,72
Edwin Gyasi,70,71
Vebjørn Hoff,64,72
Fredrik Carlsen,64,65
Aron Elís Thrándarson,66,72
Athanasios PapazoglouL,66,66
Mostafa Abdellaoue,67,67
Marlinho,62,70
Jørgen Hatlehol,56,63
Daníel Leó Grétarsson,63,72
Joakim Barstad,53,66
Sondre Sødergren,53,63
Valmir Berisha,64,73
Adam Örn Arnarson,64,73
Sondre Brunstad Fet,61,71
Emil Solnørdal,50,63
Lars VeldwijkL,71,73
Anders Waagan,53,68
Jan-Lennart Urke,59,64
