NAME,OVR,POT
Aleksandar Jovanović,62,69
Dino Mikanović,64,72
Niklas Backman,67,67
Dzhamaldin Khodzhaniyazov,67,75
Jesper Juelsgård,68,68
Martin Spelmann,66,66
Mustafa Amini,66,71
Danny Olsen,68,68
Christopher OikonomidisL,66,75
Morten Rasmussen,70,70
Kasper Junker,62,71
Mustapha Bundu,56,68
Daniel Pedersen,65,70
Jens Stage,57,69
Oskar Buur,56,67
Steffen Rasmussen,64,64
Björn Daniel Sverrisson,67,70
Elmar Bjarnason,66,66
Alexander Juel Andersen,66,69
Nimo Gribenco,52,68
Stephan Petersen,66,66
Michael Zacho,58,70
Thomas Hagelskjaer,53,63
Kasper Lunding,52,67
Emil Christensen,53,66
Mikkel Rask,69,69
Thomas Juel-Nielsen,61,64
