NAME,OVR,POT
Malik Asselah,68,68
Osama Yousef Al KhalafL,59,70
Alemão,68,70
Zourab Tsiskaridze,64,64
Khaled Al Barakah,62,62
Faress Al Aiyaf,63,64
Muralha,69,71
Jhon Fredy Pajoy,67,67
Salomão,72,72
Rodolfo,71,73
Mohammed Al SaiariL,64,66
Ali Hissain Khormi,61,61
Ismail Musalami,60,60
Saif Al Qeshtah,61,63
Abdulrahman Al RiouL,57,61
Abdulrahman Dagriri,62,62
Kennedy Igboananike,66,66
Mohammed Mohsen HarzanL,61,61
Masood Bakhit,60,61
Dawood Al Saeed,60,61
Abdullah Al Harbi,60,60
Saeed Al Dosari,60,60
Mujahid Al ManiaL,61,70
Abdulrahman Al Dakheel,54,63
Hamad Al Shaie,54,65
Maher Al Mutairi,57,73
Abdullah Abdulhameed,56,59
Abdulwahab Jafar,62,65
Salem Al Hamdan,58,59
