NAME,OVR,POT
Abdullah Al Mayoof,69,69
Mohammed Al Buraik,73,73
Jang Hyeon Soo,72,72
Ali Al Bulayhi,68,68
Yasser Al Shahrani,76,76
Gustavo Cuéllar,76,77
Salman Al Faraj,72,72
André Carrillo,79,79
Salem Al Dawsari,76,76
Luciano Vietto,77,77
Bafétimbi Gomis,79,79
Abdullah Ateef,71,72
Mohamed Kanno,70,75
Hattan Bahebri,66,66
Mohammed Jahfali,65,65
Habib Al Watyan,60,68
Saleh Al Shehri,67,68
Sebastian Giovinco,78,78
Madallah Al Olayan,66,69
Nasser Al Dawsari,62,73
Abdullah Al Hamdan,63,76
Amir Kurdi,65,65
Muteb Al Mufarrij,61,70
Fawaz Al Tryes,58,64
Nawaf Al Ghamdi,54,66
Abdullah Al Jadani,62,63
Hamad Al Abdan,54,68
Saad Al Nasser,52,66
Abdullah Al Radeef,52,70
Abdullah Al Bishi,49,62
