NAME,OVR,POT
Douglas Friedrich,70,70
Hussain Al Nowaiqi,58,61
Mohammed Khubrani,63,64
Izuchukwu Anthony,65,69
Pedro Amaral,69,73
Lucas Souza,73,73
Morato,68,68
André Poko,69,69
Khaled Al SamiriL,60,63
Fábio Santos Martins,75,75
Sokol ÇikalleshiL,67,67
Abdullah Al Samtai,57,59
Hamad Al AbdanL,54,65
Omar Al Owdah,59,63
Abdullah Al Shanqeeti,54,62
Marwan Al Haidari,57,60
Saleh Al Abbas,59,59
Mohammed Al Sahli,60,60
Riyadh Al Ibrahim,60,60
Hani Al Sibyani,58,65
Ahmed Al ZainL,66,66
Ayman Al Hejaili,58,63
Abdullah Al Harbi,59,59
Hassan Al Majhad,58,58
Hussain Furayj,52,64
Ali Abdulraouf,50,68
Mohammed Al Mosabbah,52,64
Taher Al Hajji,53,61
Qassem Abu Nayan,51,62
Eyad Al Nasser,51,62
