NAME,OVR,POT
Ameen Bukhari,61,67
Sultan Al Ghannam,72,72
Abdulelah Al Amri,70,75
Ali Lajami,64,69
Mansour Al Shammari,59,71
Gonzalo Martínez,76,76
Abdullah Al Khaibari,67,73
Khalid Al Ghannam,64,78
Anderson Souza Conceição,82,82
Vincent Aboubakar,77,77
Jaloliddin Masharipov,73,73
Abdulmajeed Al Sulayhim,68,68
Ali Al Hassan,67,74
Ramiro Funes Mori,72,72
Waleed Abdullah,63,63
Jonathan Rodríguez,79,79
Sami Al Najai,69,72
Abdullah Madu,67,68
Abdulfatah Adam,63,63
Abdulfatah Aseri,67,67
Mohammed Al Fatil,65,65
Mohammed Qasem,65,66
Hamad Al Mansour,64,64
