NAME,OVR,POT
Basem Al Baqi,56,61
Majed Hazazi,58,60
Yassen Hamza,60,65
David Ochieng,63,69
Naif Mousa,55,55
Ahmed Karenshi,56,60
Fahad Al Yamani,61,68
Sultan Al Sawadi,56,63
Ahmad Al Turky,52,64
Jehad Al Hussain,69,69
Paul Alo'o Efoulou,71,71
Bader Al Khamees,61,61
Shadi Abu Hash'hash,66,66
Saleh Al Mohaimeed,50,58
Abdullah Al Dakheel,50,53
Faisal Al Margab,55,55
Mahmoud Muath,59,59
Abdullah Al Shammari,46,52
Adnan Fallatah,61,61
Saad Al Yami,59,59
Hamoud Abbas,57,57
Ismail Al Maghrabi,57,63
Thamer Almeshauqeh,54,60
Sultan Al Ghamdi,54,63
Madallah Al Olayan,53,65
Saleh Al Ghaddouni,53,58
Abdulrahman Al Abdulrazzaq,51,59
Abdullah Al Ghamdi,51,55
Yazeed Al Sayyah,51,66
Monir Al Harbi,50,58
