NAME,OVR,POT
Abdullah Al Arraf,60,66
Waleed Mojammami,62,62
Sherif Hazem,62,64
Yahya Al Musallam,64,64
Yahya Kaabi,60,60
Motaz Al Mosa,63,63
Mansour Najjar,57,68
Torric,65,68
Mousa Madkhali,61,61
Mokhtar Fallata,68,68
Adolfo Lima,65,65
Yasser Al FahmiL,61,66
Hatim Belal Mahmoud,61,70
Kamil Al Mousa,65,65
Abdullah Al Shamekh,63,70
Ahmad Al Ghamdi,52,62
Muhannad Al Farsi,61,62
Sultan Al Dossari,56,59
Bader Al Shahrani,53,54
Kamil Omar Fallata,64,64
Mohamed Al Otaibi,54,60
Rubayyi Al Moosa,59,59
Majed Al Daini,55,63
Ahmed Magdi,67,67
Fareed Al Harbi,56,57
Abdulelah Al Malki,59,69
Abdullah Al SdairyL,62,66
Abdullah Saeed,52,61
Amer Haroun Mohammed,61,65
Issam Al Qarni,56,64
