NAME,OVR,POT
Haydar Yılmaz,68,68
Lamine Gassama,68,68
Welinton,73,73
Georgios Tzavellas,70,70
Fabrice N'Sakala,67,68
Isaac Sackey,68,75
Giannis Maniatis,69,69
Lucas Villafañez,73,75
Júnior Fernandes,74,74
Emre Akbaba,76,81
Wanderson,75,75
Efecan Karaca,72,72
Mbilla Etame,71,71
Berkan Emir,66,66
Mamadou Fofana,64,79
Rémy Riou,71,71
Emre Nefiz,67,77
Cenk Ahmet Alkılıç,66,66
Taha Yalçıner,68,68
Birol Parlak,64,65
Barış Başdaş,69,69
Filipe AugustoL,73,81
Murat Sevimler,58,72
İsmail Ünal,53,66
Ufuk Ceylan,68,68
Ümit Türker,57,72
Guy Michel Landel,67,69
Glynor Plet,67,67
Hasan Emiroğlu,58,72
Rauf Öktem,57,69
