NAME,OVR,POT
Sébastien Chabbert,72,74
Tristan Lahaye,60,73
David Vairelles,59,62
André-Joël Sami,68,73
Aurélien Boche,62,84
Fabrice Levrat,62,76
Bakaye Traoré,50,62
Antoine Buron,61,69
Thibault Giresse,66,69
Nicolas Raynier,62,69
Sébastien Heitzmann,65,76
David Hamed,63,78
Titi Buengo,64,66
Benoît Benvegnu,59,78
Roy Contout,67,74
Fabrice Begeorgi,62,76
Stéphane Hernandez,58,60
Thomas Deruda,53,65
Quentin De Parseval,58,68
Gary Perchet,54,78
Reda Johnson,50,71
Pierre Caillaud,49,52
Arnold Bouka Moutou,52,58
