NAME,OVR,POT
Jean-Daniel Padovani,58,72
David Leray,60,70
Cédric Lécluse,73,79
Blaise Kouassi,73,73
Karim Djellabi,55,69
Mickaël Stephan,54,58
Olivier Auriac,62,66
Fahid Ben Khalfallah,62,76
Philippe Brunel,73,82
Fabrice Do Marcolino,65,76
Paul Alo'o Efoulou,62,66
Thierry Cygan,58,64
Jérémy Perbet,69,71
Julien Sola,53,73
Delis Ahou,48,64
Nicolas Cousin,50,71
Theddy Ongoly,58,68
Guy Moussi,53,79
Ritchie Makuma Mpasa,55,66
Vincent Carlier,57,68
Emmanuel Bourgaud,57,73
Ahmed Tangeaoui,59,73
Martin Fall,50,58
