NAME,OVR,POT
Wojciech Szczęsny,80,83
Bacary Sagna,80,80
Per Mertesacker,82,82
Laurent Koscielny,82,82
Kieran Gibbs,78,82
Mikel Arteta,80,80
Aaron Ramsey,82,85
Santi Cazorla,84,84
Lukas Podolski,77,77
Mesut Özil,87,89
Olivier Giroud,79,80
Łukasz Fabiański,75,76
Jack Wilshere,82,86
Nacho Monreal,76,78
Mathieu Flamini,79,79
Yaya Sanogo,68,80
Alex Oxlade-Chamberlain,78,86
Thomas Vermaelen,79,79
Tomáš Rosický,81,81
Carl Jenkinson,71,79
Theo Walcott,81,85
Kim Källström,74,74
Abou Diaby,76,79
Emiliano Viviano,78,78
Nicklas Bendtner,75,76
Serge Gnabry,70,84
Ryo Miyaichi,67,77
Gedion Zelalem,62,81
Thomas Eisfeld,59,73
Chuba Akpom,58,75
Héctor Bellerín,58,80
Zak Ansah,57,64
Jon Toral,56,74
