NAME,OVR,POT
Iraizoz,81,83
Iraola,79,81
Mikel San José,75,80
Amorebieta,80,81
Aurtenetxe,68,77
Susaeta,77,79
Javi Martinez,80,81
Gurpegi,73,77
Gabilondo,75,76
Toquero,74,81
Fernando Llorente,82,85
Raúl,62,74
Ustaritz,73,74
Orbaiz,75,77
De Marcos,70,76
Muniaín,73,81
Iturraspe,71,76
Aitor Ocio,75,79
Xabi Castillo,71,75
David Lopez,72,76
Balenziaga,66,72
Ion Vélez,68,72
Koikili,73,74
Mikel Santamaría,59,71
Aitor,59,77
Adrien Goñi,63,66
Xabi Etxebarría,63,66
Ramalho,57,67
Eneko,67,76
Iñigo Pérez,60,73
Igor Martínez,65,76
Ibai Gómez,65,79
Etxaniz,52,66
Larruskain,54,69
Mentxaka,56,68
