NAME,OVR,POT
Brad Guzan,70,70
Brooks Lennon,68,73
Miles Robinson,69,76
Anton Walkes,66,74
George Bello,66,78
Santiago Sosa,70,80
Franco Ibarra,63,75
Ezequiel Barco,74,82
Jake Mulraney,67,70
Josef Martínez,80,80
Marcelino Moreno,74,76
Jürgen Damm,73,73
Emerson Hyndman,67,71
Alan Franco,75,82
Mikey Ambrose,64,65
Alec Kann,64,64
Érick Torres,67,67
Erik López,65,81
Matheus Rossetto,67,72
Mo Adams,66,71
Ronald HernándezL,64,72
Alex De John,61,61
Ben Lundgaard,61,67
Tyler Wolff,54,73
George Campbell,56,69
Jackson Conway,50,61
Amar Sejdič,64,68
Machop Chol,56,64
Bryce Washington,58,65
Josh Bauer,58,64
