NAME,OVR,POT
Antonio Pérez,57,77
Jaime Durán,54,65
Fernando Salazar,60,84
Juan Manuel García Zavala,54,70
Sebastián Diego Pena,65,80
Juan Pablo García,68,89
Manuel Pérez,56,70
Juan Carlos Medina,55,85
Carlos María Morales,69,90
Robson,68,85
Robert De Pinho,74,86
Daniel Osorno,65,78
Román Gonzalo Díaz,68,81
Roberto Carlos Castro,51,77
Carlos Hurtado,52,70
Christian Valdez,51,70
Nicolás Ramírez,55,70
Omar Flores,49,82
Carlos Balcázar,48,70
Juan Carlos Valenzuela,45,84
Juan De la Cruz,60,80
César Luis Gradito,53,70
Ulises Mendívil,49,79
Mauricio Romero,46,70
Francisco Durán,43,77
