NAME,OVR,POT
James Aguirre,65,70
Harold Gómez,64,67
Marlon Torres,64,76
Henry Pernía,56,57
Fábio RodríguezL,68,68
Gabriel Gómez,70,70
Brayan RoviraL,65,79
César Quintero,68,68
Maximiliano Núñez,68,68
Jhon Pérez,69,69
Michael RangelL,72,72
Hárrison MojicaL,66,70
Juan David Jiménez,62,70
Jeferson Torres,60,75
Dairin González,66,68
Nelson Ramos,67,67
Sergio Romero,65,65
Yílmar Filigrana,63,63
Luis Delgado,67,67
Víctor Castillo,67,67
Sherman CárdenasL,72,72
Kevin SalazarL,68,79
Johan Caballero,55,67
Manuel Loaiza,54,62
Jeison Palacios,64,73
Marvin Vallecilla,62,62
José Jaimes,53,67
Jeison Quiñones,57,67
