NAME,OVR,POT
Marcelo Ortíz,66,66
Nicolás ThallerL,67,74
Bruno Bianchi,71,71
Gabriel Risso Patrón,67,68
Ramiro Carrera,71,71
Guillermo Acosta,72,72
Gastón Gil Romero,68,68
Ramiro Ruiz,66,77
Cristian Menéndez,69,69
Augusto Lotti,69,73
Ciro Rius,69,69
Ramiro Cristóbal,67,72
Alexis DoldánL,68,74
Matías Orihuela,66,66
Tomás Marchiori,64,69
Federico Andrada,69,69
Leonardo Heredia,68,69
Renzo Tesuri,69,72
Joaquín PereyraL,65,73
Manuel CapassoL,65,70
Agustín Lagos,64,79
Franco Coman,62,69
Nicolás Laméndola,61,69
Martín Garay,61,70
Lucas Naranjo,60,73
