NAME,OVR,POT
Brad Stuver,67,67
Nick Lima,68,68
Julio Cascante,67,69
Ruben Gabrielsen,69,69
Jon Gallagher,63,64
Daniel Pereira,64,73
Alexander Ring,74,74
Diego Fagundez,71,71
Cecilio Domínguez,73,73
Sebastián Driussi,76,79
Maximiliano Urruti,67,67
Jhojan Valencia,66,71
Owen Wolff,53,75
Hector Jimenez,66,66
Andrew Tarbell,63,65
Moussa Djitté,70,78
Ethan Finlay,67,67
de Oliveira Andrade Kolmanič,63,71
Felipe,67,67
Jhohan Romaña,61,72
Danny Hoesen,65,65
Will Pulisic,53,59
Jared Stroud,61,62
Freddy Kleemann,57,63
Rodney Redes,66,76
Washington Corozo,70,74
