NAME,OVR,POT
Marco Wölfli,67,77
Adrian Eugster,56,67
Ivan Knez,61,71
Fernando Carreño,62,78
Alain Rochat,72,83
Gürkan Sermeter,70,83
Yao Aziawonou,69,85
Thomas Häberli,63,73
Gabriel Urdaneta,69,79
Francisco Neri,64,79
Stéphane Chapuisat,75,80
Johan Berisha,68,79
Joël Magnin,60,77
Mark Disler,55,65
Roman Friedli,63,73
Elvir Melunovic,61,71
Patrick De Napoli,62,80
Patrick Funaro,51,70
Fabian Geiser,55,65
Sadik,55,68
Patrick Bettoni,68,78
Nicolas Kehrli,54,73
Srdjan Maksimovic,58,68
Sandro Burki,64,83
Boban Maksimovic,58,70
