NAME,OVR,POT
Alessandro Micai,71,78
Stefano Sabelli,66,70
Elio CapradossiL,65,79
Denis Tonucci,69,69
Fabio DaprelàL,68,69
Matteo FedeleL,69,73
Marco Romizi,66,66
Migjen Basha,71,71
Cristian GalanoL,71,72
Riccardo Maniero,70,70
Franco Brienza,75,75
Vittorio PariginiL,68,79
Federico Furlan,66,69
Mattia Cassani,72,72
Archimede Morleo,68,68
Daniel OffrediL,62,62
Antonio Floro FloresL,72,72
Aniello Salzano,66,67
Leandro Greco,70,70
Vangelis Moras,71,71
Roman Macek,63,77
Filip RaičevićL,68,75
Curtis Yebli,54,67
Emanuele SuagherL,68,71
David IvanL,69,79
Raphael Martinho,71,71
Stefano Gori,61,71
Michele Portoghese,57,75
