NAME,OVR,POT
Luke Steele,68,68
Bobby Hassell,64,64
Stephen Foster,66,66
Rob Edwards,65,67
Jim McNulty,64,66
Korey SmithL,65,69
David Perkins,65,67
Michael TongeL,66,67
Craig Davies,67,69
Andy Gray,66,66
Matty Done,62,64
David Preece,58,58
Scott Wiseman,62,64
Stephen Dawson,65,70
Jim O'Brien,66,68
Chris Dagnall,65,66
James McEveley,64,66
Reuben Noble-Lazarus,59,67
Scott Golbourne,62,65
Alastair Taylor,52,58
Luke Potter,59,66
Nathan Doyle,65,67
Jacob Butterfield,69,73
Danny Rose,54,59
Jake Scott,51,56
Jordan Clark,48,55
Lukas Lidakevicius,51,61
John Stones,50,54
