NAME,OVR,POT
Juan Carlos Olave,73,73
Pier Barrios,67,70
Luciano Lollo,67,68
Lucas Aveldaño,70,70
Juan Leandro Quiroga,66,66
Facundo Affranchino,67,72
Lucas Pittinari,66,69
Guillermo Farré,70,70
Jorge Velázquez,67,67
Fernando Márquez,69,73
César Pereyra,74,74
Pablo Heredia,61,65
Gastón Turus,62,62
Renzo Saravia,64,71
Emiliano Rígoni,65,73
Carlos Bueno,68,68
Nahuel Luján,57,66
Ezequiel Maggiolo,66,66
Lucas Acosta,57,63
Marcos Rivadero,60,64
Sergio Rodríguez,64,64
Giuliano Bardín,59,68
Federico Álvarez,64,71
Lucas Zelarrayán,65,71
Esteban González,66,66
Sebastián Carrera,65,65
Joel Valdemarín,58,63
Nicolás Ferreyra,58,66
Juan Curzi,57,64
