NAME,OVR,POT
Alberto Paleari,72,72
Hamza El Kaouakibi,63,69
Kamil Glik,70,70
Riccardo Capellini,67,75
Daam Foulon,68,75
Nermin Karić,65,72
Pasquale Schiattarella,68,68
Riccardo Improta,70,70
Andrés Tello,68,71
Diego Farias,71,71
Stefano PettinariL,66,66
Gennaro Acampora,70,70
Mattia Viviani,69,77
Maxime LeverbeL,72,75
Frédéric Veseli,68,68
Nicolò Manfredini,66,66
Camillo Ciano,71,71
Antonino La GuminaL,70,72
Gaetano Letizia,73,73
Roko JureskinL,67,76
Ilias Koutsoupias,61,69
Krzysztof Kubica,66,75
SimyL,69,69
Christian Pastina,66,76
Dejan Vokić,60,63
Igor Lucatelli,51,62
Alin Toșca,69,69
Pape Samba Thiam,57,67
