NAME,OVR,POT
Maik Taylor,78,90
Mario Melchiot,80,90
Martin Taylor,75,85
Matthew Upson,81,93
Jamie Clapham,72,84
Jesper Grønkjær,83,92
Robbie Savage,73,85
Muzzy Izzet,71,87
Julian Gray,77,87
Mikael Forssell,81,86
Emile Heskey,80,88
Kenny Cunningham,76,86
Ian Bennett,68,78
Clinton Morrison,76,88
David Dunn,76,91
Olivier Tébily,67,79
Dwight Yorke,78,91
Darren Anderton,72,84
Martin Grainger,62,78
Stan Lazaridis,72,78
Darren Carter,74,90
Nico Vaesen,71,82
Damien Johnson,75,85
Stern John,73,84
Stephen Clemence,71,88
