NAME,OVR,POT
Chris Maxwell,68,68
Oliver Turton,64,64
Daniel BallardL,66,75
Jordan Thorniley,65,72
James Husband,66,67
Luke Garbutt,67,68
Elliot EmbletonL,60,70
Kenny Dougall,66,67
Ethan Robson,60,66
Ellis SimmsL,63,80
Jerry Yates,67,71
Kevin Stewart,68,69
Demetri Mitchell,65,70
Marvin Ekpiteta,65,70
Jordan Lawrence-GabrielL,62,70
Stuart Moore,58,61
Gary Madine,65,65
Keshi Anderson,64,65
Sullay Kaikai,66,69
CJ Hamilton,65,66
Daníel Leó Grétarsson,65,72
Beryly Lubala,64,70
Grant Ward,64,66
Matty Virtue,62,68
Nathan Shaw,53,60
Cameron Antwi,52,69
Jack Sims,51,63
Bradley Holmes,50,68
