NAME,OVR,POT
Emiliano Viviano,76,83
Andrea Esposito,69,80
Daniele Portanova,74,78
Miguel Angel Britos,69,79
Matteo Rubin,67,85
György Garics,70,75
Gaby Mudingayi,71,74
Henry Damián Gimenez,68,79
Diego Pérez,76,77
Albin Ekdal,70,83
Marco Di Vaio,78,82
Cristiano Lupatelli,68,73
Vangelis Moras,69,76
Federico Casarini,67,75
Andrea Pisanu,67,76
Luca Siligardi,67,80
Antonio Buscè,68,70
Massimo Mutarelli,67,75
Alessandro Bassoli,55,71
Riccardo Meggiorini,73,79
Francesco Della Rocca,62,77
Gianmarco Campironi,60,68
Rene Krhin,68,85
Daniele Paponi,57,77
Ivan Radovanovic,66,77
Filippo Spitoni,67,77
Filippo Lombardi,54,65
Manu Gavilán,62,67
Nicolò Cherubin,68,75
Archimede Morleo,62,70
Giacomo Tattini,55,68
