NAME,OVR,POT
Roman Weidenfeller,83,88
Philipp Degen,74,82
Christian Wörns,77,84
Robert Kovac,77,83
Dédé,76,83
Sebastian Kehl,77,87
Jakub Błaszczykowski,77,87
Tinga,80,84
Mladen Petric,80,85
Diego Klimowicz,77,82
Alexander Frei,81,86
Delron Buckley,70,78
Giovanni Federico,74,80
Florian Kringe,76,82
Marc Ziegler,69,73
Marc-André Kruska,69,83
Martin Amedick,75,78
Nelson Valdez,75,83
Sahr Senesie,68,74
Markus Brzenska,77,79
Uwe Hünemeier,62,71
Sebastian Tyrala,67,85
David Vrzogic,59,82
Daniel Gordon,67,75
Mihail Aleksandrov,59,76
