NAME,OVR,POT
Jon McLaughlin,57,62
Rob Kozluk,60,60
Andrew DaviesL,65,71
Luke Oliver,60,62
Marcel Seip,61,65
Craig Fagan,63,63
Ricky Ravenhill,59,59
David Syers,61,69
Will AtkinsonL,57,63
Nahki Wells,55,59
James Hanson,61,67
Matt Duke,58,58
Ritchie Jones,60,66
Deane SmalleyL,60,64
Lee Bullock,56,56
Kyel Reid,62,72
Michael Flynn,58,58
Robbie Threlfall,57,62
Andrew HaworthL,62,68
Chris Mitchell,55,59
Ross Hannah,59,66
Simon Ramsden,60,60
Matthew Fry,60,72
Guy Branston,58,58
Luke Dean,51,58
Dominic Rowe,50,56
Andrew Burns,49,54
Darren Stephenson,47,52
