NAME,OVR,POT
Enrico Alfonso,71,71
Stefano Sabelli,68,71
Simone RomagnoliL,71,71
Andrea Cistana,68,78
Felipe Curcio,69,72
Sandro Tonali,73,90
Dimitri Bisoli,70,74
Emanuele Ndoj,69,79
Nikolas Spalek,68,77
Ernesto Torregrossa,70,71
Alfredo Donnarumma,75,75
Leonardo Morosini,69,75
Jacopo Dall'Oglio,65,66
Bruno MartellaL,69,70
Aleš MatějůL,66,72
Lorenzo Andrenacci,64,69
Alessandro Martinelli,67,70
Daniele Gastaldello,70,70
Alejandro RodríguezL,71,71
Edoardo Lancini,66,71
Daniele Dessena,70,70
Luca Tremolada,69,70
Mattia Viviani,60,80
Luigi CarilloL,63,70
Paolo Bastianello,63,73
Alessandro Semprini,62,72
Matteo Cortesi,61,70
Alberto Boniotti,62,67
