NAME,OVR,POT
Jordan Holmes,57,63
Jack Hingert,64,64
Scott Neville,64,64
Tom Aldred,67,67
Kai Trewin,61,72
Connor Chapman,64,64
Alex Parsons,58,68
Jay O'Shea,67,67
Rahmat Akbari,63,72
Nikola Mileusnić,63,63
Juan Eduardo Lescano,64,64
Matti Steinmann,67,67
Jesse Daley,60,65
Eli Adams,53,66
Anton MlinaricL,55,72
Macklin Freke,57,66
Luke Ivanovic,59,67
Josh Brindell-South,59,59
Sam Klein,50,66
Nick Olsen,58,59
Louis Sehnaj,53,65
Brandon McMorrow,50,62
Corey Brown,64,64
Cyrus Dehmie,55,69
Alec Mills,51,60
Izaack Powell,55,65
