NAME,OVR,POT
Alessandro Iacobucci,67,71
Simone Iacoponi,64,64
Luca Ceccarelli,67,67
Simone Benedetti,68,73
Simone Sini,62,67
Alessio Sestu,71,71
Michele Troiano,64,64
Lorenzo Staiti,55,55
Aniello Cutolo,69,69
Samuel Di Carmine,65,66
Gaetano Masucci,63,63
Francesco Caputo,69,69
Dany Mota,54,73
Simone Palermo,60,60
Cheick Keita,65,80
Andrea Paroni,58,60
Abderrazzak Jadid,63,63
Michele Pellizzer,67,68
Pedro Miguel Costa Ferreira,63,67
Daniele Borra,56,67
Héctor Otín,59,71
Francesco Belli,60,68
Fausto Coppola,53,67
Manuel Di Paola,52,68
Joel Baraye,51,62
Luca Zanon,51,65
Stefano Pellizzari,50,64
Vittorio Argeri,58,61
