NAME,OVR,POT
David James,70,70
Cole Skuse,67,71
Lewin Nyatanga,66,70
Liam Fontaine,68,73
Richard Foster,66,71
Neil Kilkenny,67,69
Kalifa Cissé,65,68
Stephen Pearson,65,65
Albert Adomah,71,74
Chris WoodL,69,72
Yannick Bolasie,66,70
Dean Gerken,65,70
Marvin Elliott,68,70
Brett Pitman,68,70
James Wilson,64,70
Ryan McGivern,64,71
Jonathan Stead,67,67
Louis Carey,64,64
Jamal Campbell-Ryce,65,67
Martyn Woolford,64,69
Jordan SpenceL,66,72
Ryan Taylor,63,68
David Clarkson,63,66
Bobby Reid,58,68
Marlon Jackson,55,62
Aaron Amadi-Holloway,52,68
Joe Bryan,53,62
Danny Ball,53,64
