NAME,OVR,POT
Michael PokeL,59,63
Danny Woodards,62,65
Cian BolgerL,57,65
Aaron DownesL,60,66
Lee Brown,57,66
Michael Smith,59,67
Matt Gill,62,62
Craig Stanley,61,64
Andy DormanL,63,63
Chris Zebroski,61,64
Eliot Richards,57,70
Lance Cronin,54,57
Byron Anthony,58,60
Gary Sawyer,62,68
Matt Harrold,62,65
Joe Anyinsah,59,69
Scott McGleish,58,58
Adam Virgo,62,64
Mustapha Carayol,59,66
Matthew LundL,58,67
Wayne Brown,54,66
Kayne McLaggon,52,63
Jim Paterson,58,58
Scott Bevan,59,60
Charlie Clough,50,64
Darren Jefferies,45,65
Ellis Harrison,44,56
Tom ParkesL,57,61
