NAME,OVR,POT
Marvin Schwäbe,69,73
Andreas Bruus,66,72
Hjörtur Hermannsson,67,69
Andreas Maxsø,74,76
Anthony Jung,71,71
Kevin Mensah,62,62
Morten Frendrup,71,80
Josip Radošević,67,69
Jesper Lindstrøm,69,82
Simon Hedlund,71,71
Mikael Uhre,69,72
Andrija Pavlović,68,69
Lasse Vigen,69,72
Michael Lumb,65,65
Peter Bjur,63,71
Mads Hermansen,60,70
Tobias Børkeeiet,64,72
Sigurd Rosted,70,73
Anis Slimane,65,75
Oskar Fallenius,59,79
Mathias Kvistgaarden,57,72
Joel Kabongo,62,69
Rezan Corlu,65,71
Andreas Pyndt,57,68
Jagvir Singh,57,71
Jonathan Ægidius,52,70
Blás Riveros,68,77
