NAME,OVR,POT
Nick Pope,82,83
Matthew Lowton,76,76
James Tarkowski,81,82
Ben Mee,79,79
Charlie Taylor,76,77
Jóhann Berg Guðmundsson,75,75
Ashley Westwood,78,78
Josh Brownhill,76,79
Dwight McNeil,77,83
Chris Wood,78,78
Matěj Vydra,74,74
Ashley Barnes,75,75
Jay Rodriguez,74,74
Dale Stephens,73,73
Erik Pieters,74,74
Bailey Peacock-Farrell,72,79
Jack Cork,76,76
Kevin Long,71,71
Robbie Brady,74,74
Phil Bardsley,73,73
Jimmy Dunne,68,73
Josh Benson,64,76
Anthony Glennon,62,73
Max Thompson,60,72
Will Norris,65,67
Lewis Richardson,59,74
Joel Mumbongo,59,68
Anthony Gomez Mancini,59,76
Ismaila Diallo,55,65
Robert Harker,57,71
Marcel Elva-Fountaine,54,68
Will Rickard,56,66
Connor Barrett,56,67
