NAME,OVR,POT
Ricardo López,75,78
Javier Flaño,70,76
Miguel Flaño,71,76
Cruchaga,76,78
Monreal,68,73
Juanfran,72,76
Sunny,72,82
Puñal,74,78
Jaroslav Plašil,70,80
Dady,72,75
Portillo,77,78
Josetxo,72,75
Héctor Font,74,76
Roberto,65,72
Rovérsio,65,67
Javad Nekounam,73,82
Ezquerro,71,81
Pandiani,77,85
Ludovic Delporte,73,75
Xavier Margairaz,76,80
Tiago Gomes,61,72
Krisztián Vadócz,64,73
Andrés Fernández,68,70
Fran Moreno,65,70
Azpilicueta,63,67
Kike Sola,68,71
Masoud Shojaei,68,70
Jokin Esparza,63,72
