NAME,OVR,POT
Alfonso Herrero Peinador,67,70
Juanlu SánchezL,62,75
Álex Martín,65,72
Barbu,62,69
Raúl Navas,68,68
SalinasL,64,75
Roberto López AlcaideL,69,80
César Gelabert,65,76
Oriol Rey,65,70
Óscar PinchiL,68,69
Raúl GarcíaL,69,79
Manu García,72,72
Beñat PradosL,66,77
Nikolaos Michelis,63,75
Sergio SantosL,62,73
Ramón Juan,64,71
Simón Moreno,66,71
Nico SerranoL,70,81
Jofre CarrerasL,67,76
Álvaro Sanz,66,78
Javi LlabrésL,65,80
Juan Durán,62,69
David Vicente,62,71
Iago Domínguez,62,75
Ignacio Castillo Ameyugo,61,69
Nico Gudiño,60,67
Caropitche,59,71
Žiga Frelih,69,75
