NAME,OVR,POT
Sergio Rochet,77,79
José Luis Rodriguez,70,75
Leo Coelho,72,73
Nicolás Marichal,69,80
Camilo Cándido,71,72
Diego Sehnaj,71,71
Felipe Carballo,72,77
Buter Rodríguez,72,72
Alex Castro,70,70
Emmanuel Gigliotti,73,73
Diego Rodríguez,69,69
Manuel Monzeglio,65,78
Leandro Lozano,70,77
Mathías Laborda,67,75
Martín Rodríguez,66,66
Ignacio Ramírez,70,74
Alfonso Trezza,67,73
Christian Almeida,67,67
Brian Ocampo,74,83
Ignacio Suárez,61,72
Joaquín Trasante,66,74
Juan Manuel Izquierdo,65,72
Renzo Sanchez,62,80
Juan Manuel Gutiérrez,62,77
Santiago Ramírez,64,73
