NAME,OVR,POT
Florent Perraud,56,56
Kévin Boli,60,66
Florentin Pogba,66,73
Habib Bellaïd,64,69
Claude DielnaL,65,73
Florian Pinteaux,54,62
Mickaël Le Bihan,59,66
Damien Marcq,65,73
Emmanuel Kouamatien,62,69
Yoann Court,64,71
Abdoulay Diaby,63,74
Ulrich Ramé,65,65
Kalifa Traoré,53,59
Jamel Aït Ben Idir,65,68
Fabien Tchenkoua,54,72
Virgile Reset,65,68
Naïm Sliti,60,73
Mamadou Diallo,64,64
Florian Makhedjouf,58,63
Bira Dembélé,58,61
Jonathan Bijimine,50,66
Farid Beziouen,58,65
Franck Betehé,51,67
Louis Bongongui,59,73
Geoffrey Lembet,56,64
