NAME,OVR,POT
Igor Akinfeev,80,80
Mário Fernandes,82,82
Igor Diveev,71,82
Hörður Magnússon,73,75
Baktiyar Zaynutdinov,70,76
Konstantin Maradishvili,69,77
Ilzat Akhmetov,72,78
Konstantin Kuchaev,72,79
Chidera Ejuke,74,81
Nikola Vlašić,80,86
Fedor Chalov,74,81
Arnór Sigurðsson,71,80
Ivan Oblyakov,73,80
Emil Bohinen,69,79
Viktor Vasin,72,72
Ilya Pomazun,69,76
Alan Dzagoev,76,76
Georgiy Schennikov,74,74
Ilya Shkurin,66,74
Nair Tiknizyan,66,77
Vadim Karpov,64,79
Bruno Fuchs,72,82
Vladislav Torop,54,76
Kirill Nababkin,71,71
Danila Bokov,49,68
