NAME,OVR,POT
Alex Smithies,72,72
Perry Ng,69,74
Sean Morrison,73,73
Aden Flint,71,71
Curtis Nelson,71,73
Ciaron Brown,62,69
Will Vaulks,71,72
Marlon Pack,72,72
Harry WilsonL,75,81
Kieffer Moore,73,73
Josh Murphy,69,70
Joe Ralls,71,72
Leandro Bacuna,68,68
Tom Sang,60,72
Joel Bagan,55,72
Dillon Phillips,71,76
Max Watters,60,71
Sheyi OjoL,68,75
Joe Bennett,73,73
Lee Tomlin,70,70
Junior Hoilett,70,70
Mark Harris,60,69
Jordi Osei-TutuL,65,76
Jonathan Williams,68,68
Isaac Vassell,62,62
Kieron Evans,55,73
Sam Bowen,55,72
Rubin Colwill,53,71
Isaak Davies,57,74
Souleymane Bamba,71,71
