NAME,OVR,POT
Mark Gillespie,58,64
Matt Young,52,63
David Atkinson,50,57
Sean O'Hanlon,59,59
Danny Grainger,63,63
Patrick Brough,52,69
Brad Potts,57,65
Jason Kennedy,61,61
Anthony Griffith,58,58
Kyle Dempsey,50,69
Charlie Wyke,58,67
Mark Beck,58,70
Paul Thirlwell,59,59
Steven Rigg,50,55
Nathan Buddle,57,65
Dan Hanford,53,58
Billy Paynter,62,62
Gary Dicker,62,62
Daniel Kearns,63,67
Stephen Elliott,63,63
Troy Archibald-Henville,62,64
Paul Corry,62,66
Derek Asamoah,62,62
Jeffrey Monakana,61,71
David Amoo,60,65
Courtney Meppen-Walter,58,69
David Symington,57,68
Antony Sweeney,54,54
