NAME,OVR,POT
Vid Belec,72,74
Stefano Sabelli,67,72
Cristian Zaccardo,73,73
Emanuele Suagher,70,75
Riccardo Gagliolo,71,73
Lorenzo Pasciuti,71,73
Marco Crimi,66,67
Raffaele Bianco,69,69
Antonio Di Gaudio,72,73
Simone Verdi,74,80
Jerry Mbakogu,73,78
Kevin Lasagna,71,76
Isaac Cofie,71,74
Igor Bubnjić,72,77
Fabrizio Poli,68,69
Željko Brkić,72,72
Jonathan De Guzmán,76,76
Lorenzo Lollo,71,74
Filippo Porcari,70,70
Raphael Martinho,72,72
Gaetano Letizia,72,74
Fabio Daprelà,67,69
Simone Romagnoli,70,71
Simone ColombiL,68,72
Matteo Fedele,67,72
Eddy GnahoréL,66,73
Andrea Liotti,57,67
Samuel Delli Carri,57,72
