NAME,OVR,POT
Artur Boruc,81,83
Mark Wilson,71,76
Dianbobo Baldé,78,78
Stephen McManus,67,69
Lee Naylor,64,65
Neil Lennon,69,74
Shunsuke Nakamura,82,82
Shaun Maloney,80,86
Stilian Petrov,84,86
Jan Vennegoor of H.,81,83
Maciej Żurawski,79,81
Gary Caldwell,72,73
Derek Riordan,79,85
Kenny Miller,72,72
David Marshall,70,77
Jiri Jarosik,77,78
Alan Thompson,74,76
Paul Telfer,62,68
Stephen Pearson,71,72
John Kennedy,70,74
Stanislav Varga,69,72
Craig Beattie,69,77
Ross Wallace,67,72
Aiden McGeady,74,80
Evander Sno,55,68
