NAME,OVR,POT
Paul Izzo,58,64
Storm Roux,63,68
Jacob Poscoliero,61,62
Jake McGing,60,69
Josh Rose,63,63
Nick Montgomery,64,64
Liam Rose,59,72
Luis García,71,71
Fábio Ferreira,64,65
Roy O'Donovan,61,61
Mitch Austin,63,65
Matthew Fletcher,59,64
Josh Bingham,53,60
Brad McDonald,62,62
Tomislav Uskok,56,60
Alastair Bray,56,64
Francesco Stella,59,63
Harry Ascroft,57,66
Michael Neill,59,66
Daniel Heffernan,58,58
Trent Buhagiar,54,67
Jake Adelson,52,64
Adam Berry,52,62
Tom Heward-Belle,51,63
Adam Pearce,50,62
