NAME,OVR,POT
Olivier Werner,66,66
Hans Cornelis,65,65
Gilles Dewaele,57,69
Noë Dussenne,63,67
Pierre Bourdin,64,71
Karel Van Roose,64,66
Faris Haroun,65,65
Kristof D'Haene,65,68
Maarten Martens,73,73
Junior Kabananga,67,68
Stephen Buyl,64,70
Albian Muzaqi,60,70
Mathieu Maertens,58,68
Bart Buysse,66,66
Dennes De Kegel,59,67
Miguel Van Damme,62,70
Joey Godée,63,64
Tim Smolders,63,63
Thibaut Van Acker,66,70
Richard Sukuta-Pasu,65,68
Stipe Bačelić-Grgić,64,65
Jinty Caenepeel,61,75
Ayron Verkindere,54,70
Ismaïla N'Diaye,64,65
Stef Wils,64,64
Sam Valcke,60,66
Jilke De Coninck,52,62
