NAME,OVR,POT
Francesco Antonioli,70,77
Luca Ceccarelli,66,67
Maximiliano Pellegrino,68,76
Steve von Bergen,68,78
Yuto Nagatomo,67,80
Giuseppe Colucci,71,75
Stephen Appiah,69,80
Marco Parolo,70,74
Ezequiel Schelotto,72,85
Igor Budan,73,80
Emanuele Giaccherini,73,76
Diego Cavalieri,70,76
Yohan Benalouane,68,84
Ivan Fatic,65,80
Fabio Caserta,70,76
Erjon Bogdani,67,73
Maurizio Lauro,65,66
Dominique Sosso Malonga,67,76
Martin Petras,65,69
Luigi Piangerelli,62,70
Gabriele Paonessa,68,76
Luis Antonio Jiménez,76,84
Odion Jude Ighalo,67,80
David Meza Colli,61,61
Nicolás Gorobsov,65,85
Alex Teodorani,61,75
Panagiotis Tachtsidis,65,75
Franco Chiavarini,64,65
Luca Moscatiello,62,78
